,Movie title,Released Year,ImDb Rating
288,Planet of the Apes,(2001),5.7
289,X-Men Origins: Wolverine,(2009),6.5
290,Reminiscence,(2021),5.8
291,The Handmaid's Tale,(1990),6
292,Next,(2007),6.2
293,The New Mutants,(2020),5.3
294,Colossal,(2016),6.2
295,X-Men: Dark Phoenix,(2019),5.7
296,Bumblebee,(I) (2018),6.7
297,Short Circuit,(1986),6.6
298,Cloverfield,(2008),7
299,Terminator 3: Rise of the Machines,(2003),6.3
300,Dual,(2022),5.8
301,Waterworld,(1995),6.2
302,Brazil,(1985),7.9
303,Fire in the Sky,(1993),6.5
304,Metropolis,(1927),8.3
305,Akira,(1988),8
306,Rampage,(2018),6.1
307,Contact,(1997),7.5
308,Hellboy,(2004),6.8
309,Super 8,(2011),7
310,The Island,(2005),6.8
311,Deep Rising,(1998),6.1
312,The Abyss,(1989),7.5
313,Equilibrium,(2002),7.3
314,The Hitchhiker's Guide to the Galaxy,(2005),6.7
315,Brightburn,(2019),6.1
316,Wreck-It Ralph,(2012),7.7
317,Lilo & Stitch,(2002),7.3
318,Super Mario Bros.,(1993),4.1
319,Assassin's Creed,(2016),5.6
320,Big Hero 6,(2014),7.8
321,Teenage Mutant Ninja Turtles,(2014),5.8
322,Men in Black: International,(2019),5.6
323,Alien: Resurrection,(1997),6.2
324,Jurassic Park III,(2001),5.9
325,A Wrinkle in Time,(2018),4.2
326,The Giver,(2014),6.4
327,Mr. Nobody,(2009),7.8
328,Alien vs. Predator,(2004),5.6
329,High Life,(2018),5.8
330,Transformers: Age of Extinction,(2014),5.6
331,Sorry to Bother You,(2018),6.9
332,Fantastic Four: Rise of the Silver Surfer,(2007),5.6
333,The Road Warrior,(1981),7.6
334,Deep Blue Sea,(1999),5.9
335,"Honey, I Shrunk the Kids",(1989),6.4
336,Star Trek II: The Wrath of Khan,(1982),7.7
337,Spaceballs,(1987),7.1
338,The Colony,(2021),5.4
339,Voyagers,(2021),5.4
340,The Hunger Games: Mockingjay - Part 2,(2015),6.5
341,Paul,(2011),6.9
342,The Cell,(2000),6.4
343,Never Let Me Go,(2010),7.1
344,Overlord,(2018),6.6
345,Black Crab,(2022),5.6
346,Logan's Run,(1976),6.7
347,Despicable Me 3,(2017),6.2
348,The Return of the Living Dead,(1985),7.3
349,Doomsday,(2008),5.9
350,Men in Black II,(2002),6.1
351,What Happened to Monday,(2017),6.8
352,Lifeforce,(1985),6.1
353,The Dead Don't Die,(2019),5.4
354,Knowing,(2009),6.2
355,The Mitchells vs the Machines,(2021),7.6
356,Escape Room: Tournament of Champions,(2021),5.7
357,Megamind,(2010),7.3
358,Riddick,(2013),6.4
359,The Bad Batch,(2016),5.2
360,Triangle,(2009),6.9
361,Ralph Breaks the Internet,(2018),7
362,Escape from New York,(1981),7.1
363,Dark City,(1998),7.6
364,Star Trek VI: The Undiscovered Country,(1991),7.2
365,28 Weeks Later,(2007),6.9
366,Deep Impact,(1998),6.2
367,Unbreakable,(2000),7.3
368,WarGames,(1983),7.1
369,The Time Capsule,(2022),5.1
370,The Wolverine,(2013),6.7
371,Soylent Green,(1973),7
372,Planet of the Apes,(1968),8
373,TRON,(1982),6.7
374,The Chronicles of Riddick,(2004),6.6
375,Dead Zone,(2022),3.7
376,G.I. Joe: The Rise of Cobra,(2009),5.7
377,Transformers: Dark of the Moon,(2011),6.2
378,The Matrix Revolutions,(2003),6.7
379,I Origins,(2014),7.3
380,Maze Runner: The Death Cure,(2018),6.2
381,King Kong,(1933),7.9
382,Ender's Game,(2013),6.6
383,Resident Evil: Apocalypse,(2004),6.1
384,Species,(1995),5.8
385,Oke Oka Jeevitham,(2022),8.5
386,Boss Level,(2020),6.8
387,Journey 2: The Mysterious Island,(2012),5.7
388,X2: X-Men United,(2003),7.4
389,Spy Kids,(2001),5.6
390,Stalker,(1979),8.1
391,1984,(1984),7.1
392,Memoria,(I) (2021),6.6
393,Flash Gordon,(1980),6.5
394,Battleship,(2012),5.8
395,Demolition Man,(1993),6.7
396,"I, Robot",(2004),7.1
397,Godzilla,(2014),6.4
