,Movie title,Released Year,ImDb Rating
416,Pinocchio and the Emperor of the Night,(1987),6.3
417,The Red Turtle,(2016),7.5
418,One Piece Film Z,(2012),7.8
419,Planet 51,(2009),6
420,Foodfight!,(2012),1.3
421,Dragon Ball Z: Broly - The Legendary Super Saiyan,(1993),7.4
422,Trollhunters: Rise of the Titans,(2021),6.6
423,Peter Pan 2: Return to Never Land,(2002),5.8
424,Batman Ninja,(2018),5.6
425,Lupin III: The First,(2019),6.9
426,Yellow Submarine,(1968),7.4
427,The Triplets of Belleville,(2003),7.7
428,Tokyo Godfathers,(2003),7.8
429,Charming,(2018),5.6
430,Once Upon a Forest,(1993),6.4
431,White Snake 2: Green Snake,(2021),6.7
432,When the Wind Blows,(1986),7.7
433,The Boxtrolls,(2014),6.8
434,Pom Poko,(1994),7.3
435,Starship Troopers: Traitor of Mars,(2017),5.5
436,Final Fantasy VII: Advent Children,(2005),7.2
437,Berserk: The Golden Age Arc I - The Egg of the King,(2012),7.5
438,Mary and the Witch's Flower,(2017),6.8
439,Shaun the Sheep Movie,(2015),7.3
440,Animal Crackers,(2017),5.8
441,Ainbo,(2021),4.8
442,Teen Titans GO! To the Movies,(2018),6.7
443,A Troll in Central Park,(1994),5.3
444,My Sweet Monster,(2021),4.9
445,The Boy and the Beast,(2015),7.6
446,Early Man,(2018),6.1
447,Berserk: The Golden Age Arc III - The Advent,(2013),7.8
448,Boruto: Naruto The Movie,(2015),7.8
449,Yogi Bear,(2010),4.6
450,Batman and Harley Quinn,(2017),5.9
451,Pooh's Heffalump Movie,(2005),6.4
452,Dragon Ball Z: Battle of Gods,(2013),7.1
453,Mars Needs Moms,(2011),5.4
454,Promare,(2019),7
455,Evangelion: 1.0 You Are (Not) Alone,(2007),7.6
456,Extraordinary Tales,(2013),6.4
457,Riverdance: The Animated Adventure,(2021),5.5
458,100% Wolf,(2020),5.6
459,Playmobil: The Movie,(2019),4.8
460,The Adventures of Ichabod and Mr. Toad,(1949),6.9
461,Treasure Island Part II: Captain Flint's Treasure,(1989),8.2
462,It's Such a Beautiful Day,(2012),8.2
463,Millennium Actress,(2001),7.8
464,Everybody Loves Jeanne,(2022),6.4
465,Monster Family 2,(2021),4.7
466,Son of Bigfoot,(2017),6.1
467,Next Gen,(I) (2018),6.6
468,Rock & Rule,(1983),6.4
469,Steven Universe: The Movie,(2019),7.7
470,"Tad, the Lost Explorer, and the Secret of King Midas",(2017),6.1
471,Summer Wars,(2009),7.4
472,American Pop,(1981),7.1
473,Eight Crazy Nights,(2002),5.3
474,Mirai,(2018),7
475,The Rugrats Movie,(1998),5.9
476,The Jungle Book 2,(2003),5.3
477,Secret of the Wings,(2012),7
478,Mortal Kombat Legends: Scorpion's Revenge,(2020),7.4
479,Free Birds,(2013),5.8
480,Wonder Park,(2019),5.8
481,Arthur Christmas,(2011),7.1
482,MFKZ,(2017),6.7
483,Sherlock Gnomes,(2018),5.2
484,Mind Game,(I) (2004),7.7
485,A Monster in Paris,(2011),6.7
486,Constantine: City of Demons - The Movie,(2018),7.3
487,Gnome Alone,(2017),5.6
488,Around the World in 80 Days,(2021),4.7
489,Batman: Gotham by Gaslight,(2018),6.7
490,Middle School: The Worst Years of My Life,(2016),6
491,Dragon Rider,(2020),5.6
492,Street Fighter II: The Animated Movie,(1994),7.2
493,Cats,(2018),4.8
494,Fruits Basket: Prelude,(2022),7.5
495,In This Corner (and Other Corners) of the World,(2016),7.7
496,The House of the Lost on the Cape,(2021),6.9
497,Cats Don't Dance,(1997),6.9
498,The Ogglies,(2021),5.1
499,Maquia: When the Promised Flower Blooms,(2018),7.4
500,Barefoot Gen,(1983),8
501,Jungle Beat: The Movie,(2020),5.4
502,One Piece Film: Gold,(2016),7.1
503,Mortal Kombat Legends: Battle of the Realms,(2021),6.5
504,Justice Society: World War II,(2021),6.4
505,Happily Ever After,(1989),5.5
506,Gandahar,(1987),7
507,Recess: School's Out,(2001),6.5
508,Animal Farm,(1954),7.2
509,Walking with Dinosaurs 3D,(2013),5.2
510,My Life as a Zucchini,(2016),7.7
511,"Dragon Ball Z: Resurrection ""F""",(2015),7.2
512,The Congress,(2013),6.4
513,One Piece: Stampede,(2019),7.5
514,One Piece: Strong World,(2009),7.5
515,Pets United,(2019),3.7
516,The Princess and the Goblin,(1991),6.7
517,The Star,(2017),6.2
518,Alice,(1988),7.4
519,Ronal the Barbarian,(2011),6.6
520,Kuso,(2017),4.8
521,Checkered Ninja,(2018),7.2
522,Alpha and Omega,(2010),5.1
523,Sword Art Online: Progressive - Aria of a Starless Night,(2021),7.2
524,The Wild Thornberrys,(2002),5.6
525,Rugrats in Paris,(2000),6.1
526,Phineas and Ferb the Movie: Candace Against the Universe,(2020),7.1
527,Children Who Chase Lost Voices,(2011),7.1
528,The Chipmunk Adventure,(1987),7.1
529,The Powerpuff Girls Movie,(2002),6.5
530,Vampire Hunter D,(1985),7.1
531,The Deer King,(2021),6.5
532,Lupin III: The Castle of Cagliostro,(1979),7.6
533,Bebe's Kids,(1992),5.8
534,Penguin Highway,(2018),7.1
535,My Hero Academia: Heroes Rising,(2019),7.8
536,Kingsglaive: Final Fantasy XV,(2016),6.7
537,The SpongeBob SquarePants Movie Rehydrated,(2022),8.5
538,Hell and Back,(2015),5.3
539,Ernest & Celestine,(2012),7.8
540,Resident Evil: Vendetta,(2017),6.2
541,Charlotte,(III) (2021),6.4
542,Evangelion: 2.0 You Can (Not) Advance,(2009),7.9
543,My Hero Academia: Two Heroes,(2018),7.4
544,A Fish Tale,(2000),6
545,A Shaun the Sheep Movie: Farmageddon,(2019),6.8
546,Secret Magic Control Agency,(2021),6.2
547,A Turtle's Tale: Sammy's Adventures,(2010),6
548,The Hero of Color City,(2014),3.9
