,Movie title,Released Year,ImDb Rating
378,The Holiday,(2006),6.9
379,Moonrise Kingdom,(2012),7.8
380,He's All That,(2021),4.4
381,Breakfast at Tiffany's,(1961),7.6
382,The Beach Bum,(2019),5.5
383,Jerry and Marge Go Large,(2022),6.9
384,Juno,(2007),7.5
385,Don't Tell Mom the Babysitter's Dead,(1991),6.3
386,The Last Boy Scout,(1991),7
387,Meet the Parents,(2000),7
388,Dogma,(1999),7.3
389,Click,(2006),6.4
390,Horrible Bosses,(2011),6.9
391,Fletch,(1985),6.9
392,The Royal Tenenbaums,(2001),7.6
393,That Awkward Moment,(2014),6.1
394,Mary Poppins,(1964),7.8
395,Pitch Perfect 2,(2015),6.4
396,Barbarella,(1968),5.8
397,Addams Family Values,(1993),6.8
398,Kung Fu Panda,(2008),7.6
399,Easter Sunday,(2022),5.4
400,Smokey and the Bandit,(1977),6.9
401,Scream 4,(2011),6.2
402,It's a Mad Mad Mad Mad World,(1963),7.5
403,Toy Story 4,(2019),7.7
404,Dolittle,(2020),5.6
405,Men in Black 3,(2012),6.8
406,Blended,(2014),6.5
407,Chicago,(2002),7.2
408,Life of Brian,(1979),8
409,Chef,(2014),7.3
410,The Sting,(1973),8.3
411,The Terminal,(2004),7.4
412,Pan,(2015),5.7
413,The Longest Yard,(1974),7.1
414,Fright Night,(2011),6.4
415,50 First Dates,(2004),6.8
416,Ghostbusters,(2016),6.9
417,21 Jump Street,(2012),7.2
418,Into the Woods,(2014),5.9
419,Grown Ups 2,(2013),5.3
420,The Naked Gun: From the Files of Police Squad!,(1988),7.6
421,Back to the Future Part II,(1989),7.8
422,The Graduate,(1967),8
423,Raymond & Ray,(2022),8.3
424,Midnight in Paris,(2011),7.7
425,Project X,(2012),6.6
426,Cars 3,(2017),6.7
427,The Brothers Grimm,(2005),5.9
428,Little Shop of Horrors,(1986),7.1
429,Knocked Up,(2007),6.9
430,The Peanut Butter Falcon,(2019),7.6
431,Meet the Fockers,(2004),6.3
432,Pain & Gain,(2013),6.4
433,Pretty in Pink,(1986),6.7
434,How to Train Your Dragon,(2010),8.1
435,Funny Pages,(2022),6.3
436,Beverly Hills Cop,(1984),7.3
437,Magic Mike,(2012),6.1
438,Ivy + Bean,(2022),6
439,Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6
440,Last Christmas,(2019),6.5
441,Coming to America,(1988),7.1
442,MASH,(1970),7.4
443,Risky Business,(1983),6.8
444,Spanglish,(2004),6.4
445,Road Trip,(2000),6.5
446,Spy,(2015),7
447,Frozen II,(2019),6.8
448,American Pie 2,(2001),6.4
449,Love and Monsters,(I) (2020),6.9
450,Dark Shadows,(2012),6.2
451,Cars 2,(2011),6.2
452,Incredibles 2,(2018),7.6
453,Mack & Rita,(2022),4.4
454,Gosford Park,(2001),7.2
455,Fantastic Mr. Fox,(2009),7.9
456,Sister Act 2: Back in the Habit,(1993),5.6
457,The Replacements,(2000),6.6
458,Planet Terror,(2007),7.1
459,Miss Congeniality,(2000),6.3
460,Swiss Army Man,(2016),6.9
461,Fear and Loathing in Las Vegas,(1998),7.5
462,Robots,(2005),6.4
463,Mamma Mia! Here We Go Again,(2018),6.6
464,The Emperor's New Groove,(2000),7.4
465,Mr. & Mrs. Smith,(2005),6.5
466,The Hitman's Bodyguard,(2017),6.9
467,Just Friends,(I) (2005),6.2
468,I Want You Back,(2022),6.6
469,Easy A,(2010),7
470,Scary Movie 2,(2001),5.3
471,Metal Lords,(2022),6.7
472,That's My Boy,(2012),5.5
473,A Series of Unfortunate Events,(2004),6.8
474,BlacKkKlansman,(2018),7.5
475,The Losers,(I) (2010),6.3
476,Darlings,(I) (2022),6.6
477,Couples Retreat,(2009),5.5
478,Zombieland,(2009),7.6
479,Seven Psychopaths,(2012),7.1
480,Hairspray,(2007),6.7
481,Forgetting Sarah Marshall,(2008),7.1
482,Brave,(2012),7.1
483,Good Mourning,(I) (2022),3.2
484,Night at the Museum,(2006),6.4
485,Big Daddy,(1999),6.4
486,Shrek 2,(2004),7.3
487,Toy Story 3,(2010),8.3
488,Raksha Bandhan,(2022),4.6
489,Focus,(II) (2015),6.6
490,Some Like It Hot,(1959),8.2
491,Central Intelligence,(2016),6.3
492,Adventures in Babysitting,(1987),6.9
493,Madagascar,(2005),6.9
494,My Big Fat Greek Wedding,(2002),6.6
495,Colossal,(2016),6.2
496,Career Opportunities,(1991),5.8
497,This Is Spinal Tap,(1984),7.9
498,777 Charlie,(2022),9
499,Only Lovers Left Alive,(2013),7.2
500,Short Circuit,(1986),6.6
501,"O Brother, Where Art Thou?",(2000),7.7
502,The Haunted Mansion,(2003),5.1
503,Empire Records,(1995),6.7
504,A Perfect Pairing,(2022),6.1
505,Sideways,(2004),7.5
506,The Starling,(2021),6.3
507,The Phantom of the Open,(2021),7
508,Between Two Ferns: The Movie,(2019),6.1
509,Rush Hour,(1998),7
510,Up in the Air,(I) (2009),7.4
511,The Dirt,(2019),6.9
512,Cheaper by the Dozen,(2003),5.9
513,Band of Outsiders,(1964),7.6
514,Sharp Stick,(2022),4.3
515,Mrs. Doubtfire,(1993),7.1
516,The Duke,(2020),6.9
517,The Hitchhiker's Guide to the Galaxy,(2005),6.7
518,Elf,(2003),7
519,Teen Witch,(1989),5.9
520,I Care a Lot,(2020),6.3
521,Valley Girl,(1983),6.4
522,Do the Right Thing,(1989),7.9
523,Unfavorable Odds,(2022),2.9
524,Wreck-It Ralph,(2012),7.7
525,Miss March,(2009),5
526,The Art of Racing in the Rain,(2019),7.5
527,The Square,(2017),7.2
528,Brian and Charles,(2022),6.6
529,Lilo & Stitch,(2002),7.3
530,Puss in Boots: The Last Wish,(2022),8.8
531,Movie 43,(2013),4.3
532,Billy Madison,(1995),6.3
533,Super Mario Bros.,(1993),4.1
534,Knight and Day,(2010),6.3
535,Tag,(I) (2018),6.5
536,Big Hero 6,(2014),7.8
537,The Way Way Back,(2013),7.4
538,Wild Hogs,(2007),5.8
539,Teenage Mutant Ninja Turtles,(2014),5.8
540,Mary Poppins Returns,(2018),6.7
541,Men in Black: International,(2019),5.6
542,Last Action Hero,(1993),6.4
543,Kick-Ass 2,(2013),6.5
544,A Royal Night Out,(2015),6.5
545,Bad Teacher,(2011),5.6
546,Bridget Jones's Diary,(2001),6.7
547,The Kissing Booth,(2018),5.9
548,The Family,(I) (2013),6.3
549,Cats,(2019),2.8
550,Hotel Transylvania 4: Transformania,(2022),6
551,Tremors,(1990),7.1
552,National Lampoon's Christmas Vacation,(1989),7.5
553,Rat Race,(2001),6.4
554,Ferdinand,(2017),6.7
555,Bachelor Party,(1984),6.3
556,Tarzan,(1999),7.3
557,Sorry to Bother You,(2018),6.9
558,Weekend,(1967),7
559,Trading Places,(1983),7.5
560,Hall Pass,(2011),5.9
561,"Honey, I Shrunk the Kids",(1989),6.4
562,Three Amigos!,(1986),6.5
563,Ice Age,(2002),7.5
564,Spaceballs,(1987),7.1
565,The Interview,(II) (2014),6.5
